,question,answer,multiple_answer,can_answer
6391,The material used in Ghent Altarpiece is?,"['oak', 'wood']",True,
6392,The country of Ghent University is?,Belgium,False,True
6393,The language used in Ghent University is?,"['Dutch', 'French']",True,
6394,The country of citizenship of Gheorghe Hagi is?,Romania,False,True
6395,The country of citizenship of Gheorghe Zamfir is?,Romania,False,True
6396,The country of citizenship of Gherman Titov is?,Russia,False,True
6397,The eye color of Gia Allemand is?,brown,False,True
6398,The country of citizenship of Giacomo Agostini is?,Italy,False,True
6399,The native language of Giacomo Casanova is?,Italian,False,True
6400,The country of citizenship of Giacomo Meyerbeer is?,Germany,False,True
6401,The genre of Giacomo Meyerbeer is?,opera,False,True
6402,The genre of Giacomo Puccini is?,opera,False,True
6403,The country of citizenship of Gian Carlo Menotti is?,Italy,False,True
6404,The genre of Gian Carlo Menotti is?,opera,False,True
6405,The country of citizenship of Gian Lorenzo Bernini is?,Italy,False,True
6406,The country of citizenship of Gian Maria Volonté is?,Italy,False,True
6407,The country of citizenship of Giancarlo Esposito is?,Italy,False,False
6408,The sport played by Giancarlo Stanton is?,baseball,False,True
6409,The country for sport played by Gianluigi Buffon is?,Italy,False,True
6410,The country of citizenship of Gianluigi Buffon is?,Italy,False,True
6411,The team position of Gianluigi Buffon is?,goalkeeper,False,True
6412,The eye color of Gianna Michaels is?,blue,False,False
6413,The country of citizenship of Gianni Agnelli is?,Italy,False,True
6414,"The languages spoken, written or signed by Gianni Agnelli is?",Italian,False,True
6415,The country of citizenship of Gianni Rodari is?,Italy,False,True
6416,"The languages spoken, written or signed by Gianni Rodari is?",Italian,False,True
6417,The country of citizenship of Gianni Versace is?,Italy,False,True
6418,"The languages spoken, written or signed by Gianni Versace is?",Italian,False,True
6419,The country of citizenship of Giannis Antetokounmpo is?,Greece,False,True
6420,The sport played by Giannis Antetokounmpo is?,basketball,False,True
6421,The blood type of Giant Baba is?,O,False,True
6422,The country of citizenship of Giant Baba is?,Japan,False,True
6423,The country of Giant Magellan Telescope is?,Chile,False,True
6424,The sport played by Giba is?,volleyball,False,True
6425,Gibbs free energy calculated from?,entropy,False,True
6426,The emergency phone number of Gibraltar is?,112,False,True
6427,The language used in Gibraltar is?,"['English', 'Spanish']",True,
6428,The official language of Gibraltar is?,English,False,True
6429,Gibraltar shares a border with?,Spain,False,True
6430,Gibraltar is territory claimed by?,Spain,False,False
6431,The country of citizenship of Gichin Funakoshi is?,Japan,False,True
6432,The sport played by Gichin Funakoshi is?,karate,False,True
6433,The instrument of Gidget Gein is?,guitar,False,True
6434,The country of Gifu is?,Japan,False,True
6435,The country of Gifu Prefecture is?,Japan,False,True
6436,Gifu Prefecture is located in?,Japan,False,True
6437,The country of Gijón is?,Spain,False,True
6438,Gila River is located in?,Arizona,False,True
6439,The country of Gilan Province is?,Iran,False,True
6440,The sport played by Gilbert Arenas is?,basketball,False,True
6441,The voice type of Gilbert Price is?,baritone,False,True
6442,The sport played by Gilbert Ray Hodges is?,baseball,False,True
6443,"The country of citizenship of Gilbert du Motier, Marquis de Lafayette is?",France,False,True
6444,"The native language of Gilbert du Motier, Marquis de Lafayette is?",French,False,True
6445,"Gilbert du Motier, Marquis de Lafayette writing languages?",French,False,True
6446,The instrument of Gilberto Gil is?,guitar,False,True
6447,The country of Gilgit-Baltistan is?,Pakistan,False,True
6448,Gilgit-Baltistan is located in?,Pakistan,False,True
6449,Gilgit-Baltistan is territory claimed by?,Pakistan,False,True
6450,The country of citizenship of Gilles Binchois is?,"['Belgium', 'France']",True,
6451,Gilles de Rais convicted of?,"['murder', 'witchcraft']",True,
6452,The country of citizenship of Gilles de Rais is?,France,False,True
6453,The residence of Gillian Anderson is?,London,False,True
6454,The eye color of Gillian Jacobs is?,blue,False,False
6455,The language of Gilligan's Island is?,English,False,True
6456,The language of Gilligan's Island is?,English,False,True
6457,The country for sport played by Gillis Grafström is?,Sweden,False,True
6458,The country of citizenship of Gillis Grafström is?,Sweden,False,True
6459,The eye color of Gina Carano is?,brown,False,True
6460,The native language of Gina Haspel is?,English,False,True
6461,The country of citizenship of Gina Lollobrigida is?,Italy,False,True
6462,The country for sport played by Gino Bartali is?,Italy,False,True
6463,The country of citizenship of Gino Bartali is?,Italy,False,True
6464,The genre of Gioachino Rossini is?,opera,False,True
6465,The country of citizenship of Giorgetto Giugiaro is?,Italy,False,True
6466,The country of citizenship of Giorgio Armani is?,Italy,False,True
6467,"The languages spoken, written or signed by Giorgio Armani is?",Italian,False,True
6468,The country of citizenship of Giorgio Moroder is?,Italy,False,True
6469,The genre of Giorgio Moroder is?,disco,False,True
6470,The country of citizenship of Giorgio de Chirico is?,Italy,False,True
6471,The country of citizenship of Giorgos Seferis is?,Greece,False,True
6472,The country of citizenship of Giotto di Bondone is?,Italy,False,True
6473,The genre of Giovanni Battista Pergolesi is?,opera,False,False
6474,The genre of Giovanni Battista Rubini is?,opera,False,True
6475,The native language of Giovanni Boccaccio is?,Italian,False,True
6476,Giovanni Boccaccio writing languages?,Latin,False,False
6477,The country of citizenship of Giovanni Domenico Cassini is?,France,False,False
6478,The country of citizenship of Giovanni Falcone is?,Italy,False,True
6479,The country of citizenship of Giovanni Pisano is?,Italy,False,True
6480,The country of citizenship of Giovanni de Ventura is?,Italy,False,True
6481,The original country of Gipsy Kings is?,France,False,False
6482,The country of citizenship of Giuditta Pasta is?,Italy,False,True
6483,The country of Giugliano in Campania is?,Italy,False,False
6484,The country of citizenship of Giulia Grisi is?,Italy,False,True
6485,The voice type of Giulia Grisi is?,soprano,False,True
6486,Giulio Andreotti convicted of?,murder,False,False
6487,The country of citizenship of Giulio Andreotti is?,Italy,False,True
6488,The religion of Giulio Andreotti is?,Catholicism,False,True
6489,The residence of Giulio Andreotti is?,Rome,False,True
6490,The country of citizenship of Giuseppe Adami is?,Italy,False,True
6491,The native language of Giuseppe Garibaldi is?,"['French', 'Italian']",True,
6492,The country of citizenship of Giuseppe Genco Russo is?,Italy,False,True
6493,"The languages spoken, written or signed by Giuseppe Giacosa is?",Italian,False,True
6494,The country of citizenship of Giuseppe Meazza is?,Italy,False,True
6495,The country of citizenship of Giuseppe Tomasi di Lampedusa is?,Italy,False,True
6496,The country of citizenship of Giuseppe Ungaretti is?,Italy,False,True
6497,The genre of Giuseppe Verdi is?,opera,False,True
6498,The country of Giza is?,Egypt,False,True
6499,The country of Giza Governorate is?,Egypt,False,True
6500,Giza Governorate is located in?,Egypt,False,True
6501,The country of Giza pyramid complex is?,Egypt,False,True
6502,The country of citizenship of Gladys Nicholls is?,Australia,False,True
6503,The country of citizenship of Glauber Rocha is?,Brazil,False,True
6504,The instrument of Glen Campbell is?,guitar,False,True
6505,The blood type of Glenn Close is?,A,False,False
6506,The native language of Glenn Corbett is?,English,False,True
6507,The country of citizenship of Glenn Ford is?,Canada,False,True
6508,The instrument of Glenn Frey is?,"['piano', 'guitar']",True,
6509,The country of citizenship of Glenn Gould is?,Canada,False,True
6510,The instrument of Glenn Gould is?,piano,False,True
6511,The country for sport played by Glenn Howard is?,Canada,False,True
6512,The country of citizenship of Glenn Howard is?,Canada,False,True
6513,The sport played by Glenn Hubbard is?,baseball,False,True
6514,The country of citizenship of Glenn McGrath is?,Australia,False,True
6515,The team position of Glenn McGrath is?,pitcher,False,False
6516,The genre of Glenn Miller is?,jazz,False,False
6517,The team position of Glenn Scobey Warner is?,pitcher,False,False
6518,The country of citizenship of Gleyber Torres is?,Venezuela,False,True
6519,The language of Global Times is?,"['English', 'Chinese']",True,
6520,The newspaper format of Global Times is?,tabloid,False,True
6521,The original country of Glock is?,Austria,False,True
6522,The instrument of Gloria Estefan is?,guitar,False,False
6523,The eye color of Gloria Leonard is?,brown,False,False
6524,The country of citizenship of Gloria Macapagal-Arroyo is?,Philippines,False,True
6525,The eye color of Gloria Reuben is?,brown,False,True
6526,Gloucestershire shares a border with?,"['Oxfordshire', 'Wiltshire', 'Worcestershire']",True,
6527,The blood type of Go Nagai is?,O,False,True
6528,The country of citizenship of Go Nagai is?,Japan,False,True
6529,The country of citizenship of Go-Daigo is?,Japan,False,True
6530,The continent of Goa is?,Asia,False,False
6531,The country of Goa is?,India,False,True
6532,The language used in Goa is?,Marathi,False,False
6533,Goa is located in?,India,False,True
6534,Goa shares a border with?,"['Karnataka', 'Maharashtra']",True,
6535,The continent of Gobi Desert is?,Asia,False,True
6536,The language of God Only Knows is?,English,False,True
6537,The language of God Save the Queen is?,English,False,True
6538,Godavari River is located in?,Telangana,False,False
6539,The country of citizenship of Godefroy de Blonay is?,Switzerland,False,False
6540,The country of citizenship of Godfrey Gao is?,Taiwan,False,True
6541,The country of Goethe University Frankfurt is?,Germany,False,True
6542,The basic form of government of Goguryeo is?,monarchy,False,True
6543,The religion of Goguryeo is?,Buddhism,False,True
6544,The country of citizenship of Goh Chok Tong is?,Singapore,False,True
6545,The country of Goiás is?,Brazil,False,True
6546,The country of Goiânia is?,Brazil,False,True
6547,The basic form of government of Gojoseon is?,monarchy,False,False
6548,The country of Golan Heights is?,Syria,False,True
6549,The material used in Golan Heights is?,basalt,False,False
6550,Golan Heights is territory claimed by?,"['Israel', 'Syria']",True,
6551,The product or material produced of Gold panning is?,gold,False,True
6552,The country of citizenship of Golda Meir is?,Israel,False,True
6553,The residence of Golda Meir is?,Jerusalem,False,True
6554,The material used in Golden Gate Bridge is?,steel,False,True
6555,The official language of Golden Horde is?,"['Mongolian', 'Turki']",True,
6556,The official religion of Golden Horde is?,Islam,False,True
6557,The blood type of Golden State Killer is?,A,False,False
6558,Golden State Killer convicted of?,murder,False,True
6559,The language of GoldenEye 007 is?,English,False,True
6560,The publisher of GoldenEye 007 is?,Nintendo,False,True
6561,The religion of Goldie Hawn is?,Judaism,False,False
6562,The country of Golestan Province is?,Iran,False,True
6563,The country of Gombe State is?,Nigeria,False,True
6564,The country of Gommateshwara statue is?,India,False,True
6565,The country of citizenship of Gonzalo Fernández de Córdoba is?,Spain,False,True
6566,The country of citizenship of Gonzalo Pizarro is?,Spain,False,False
6567,The country of citizenship of Gonçalo Coelho is?,Portugal,False,True
6568,The language of Good Housekeeping is?,English,False,True
6569,The language of Good King Wenceslas is?,English,False,False
6570,The language of Good Morning America is?,English,False,True
6571,The language of Good Morning America is?,English,False,True
6572,"The original country of Good Night, Little Ones! is?",Russia,False,False
6573,"The language of Good Night, Little Ones! is?",Russian,False,False
6574,The language of Goodfellas is?,English,False,True
6575,The religion of Goodluck Jonathan is?,Christianity,False,True
6576,The language of Goodnight Moon is?,English,False,True
6577,Google Search programming language?,C,False,True
6578,The country of citizenship of Googoosh is?,Iran,False,True
6579,The religion of Googoosh is?,Islam,False,False
6580,The language of Goosebumps is?,English,False,True
6581,The country of Gorakhpur is?,India,False,True
6582,The ethnic group of Goran Bregović is?,Serbs,False,False
6583,The instrument of Goran Bregović is?,guitar,False,True
6584,The residence of Goran Bregović is?,Sarajevo,False,False
6585,The residence of Goran Dragić is?,Ljubljana,False,False
6586,The sport played by Goran Dragić is?,basketball,False,True
6587,The country of citizenship of Goran Višnjić is?,Croatia,False,True
6588,The country of citizenship of Gordie Howe is?,Canada,False,True
6589,The team position of Gordon Banks is?,goalkeeper,False,True
6590,The military rank of Gordon Cooper is?,colonel,False,True
6591,The country of citizenship of Gordon Lightfoot is?,Canada,False,True
6592,The instrument of Gordon Lightfoot is?,"['guitar', 'piano']",True,
6593,The country of Gorgan is?,Iran,False,True
6594,The country of citizenship of Gory Guerrero is?,Mexico,False,True
6595,The basic form of government of Goryeo is?,monarchy,False,True
6596,The official language of Goryeo is?,Korean,False,True
6597,The country of citizenship of Gosho Aoyama is?,Japan,False,True
6598,The country of Gothenburg is?,Sweden,False,True
6599,The country of Gothic is?,Spain,False,False
6600,The country of Gothic art is?,"['France', 'Italy']",True,
6601,Gothic art is followed by?,Renaissance,False,True
6602,The country of Gotland is?,Sweden,False,True
6603,The country of citizenship of Gottfried Reinhold Treviranus is?,Germany,False,True
6604,The country of citizenship of Gottfried Semper is?,Germany,False,True
6605,The country of citizenship of Gottfried Wilhelm Leibniz is?,Germany,False,True
6606,Gottfried Wilhelm Leibniz influenced by?,Aristotle,False,False
6607,The country of citizenship of Gottfried von Strassburg is?,Germany,False,True
6608,The country of Gotthard Base Tunnel is?,Switzerland,False,True
6609,The country of citizenship of Gottlieb Daimler is?,Germany,False,True
6610,The country of citizenship of Gottlob Frege is?,Germany,False,True
6611,The country of citizenship of Gough Whitlam is?,Australia,False,True
6612,The native language of Gough Whitlam is?,English,False,True
6613,The native language of Gouverneur Morris I is?,English,False,True
6614,The country of Gozan no Okuribi is?,Japan,False,True
6615,The capital of Gozo is?,Victoria,False,True
6616,Gozo is located in?,Malta,False,True
6617,The country of citizenship of Grace Park is?,Canada,False,True
6618,The country of citizenship of Gracia Mendes Nasi is?,Portugal,False,True
6619,The country of citizenship of Graciela Beltrán is?,Mexico,False,True
6620,The sport played by Grady Sizemore is?,baseball,False,True
6621,The country of citizenship of Graeme Langlands is?,Australia,False,True
6622,The country of citizenship of Graham Kennedy is?,Australia,False,True
6623,The country of citizenship of Graham Norton is?,Ireland,False,True
6624,The instrument of Gram Parsons is?,"['guitar', 'piano']",True,
6625,The country of Grameen Bank is?,Bangladesh,False,True
6626,The country of Gran Chaco is?,"['Argentina', 'Paraguay', 'Bolivia']",True,
6627,The basic form of government of Gran Colombia is?,republic,False,True
6628,The capital of Gran Colombia is?,Bogota,False,False
6629,The language used in Gran Colombia is?,Spanish,False,True
6630,The official language of Gran Colombia is?,Spanish,False,True
6631,Gran Colombia replaced by?,"['Ecuador', 'Venezuela']",True,
6632,Gran Colombia shares a border with?,"['Brazil', 'Peru']",True,
6633,The country of Granada is?,Spain,False,True
6634,The basic form of government of Grand Duchy of Finland is?,monarchy,False,True
6635,The capital of Grand Duchy of Finland is?,Helsinki,False,True
6636,The language used in Grand Duchy of Finland is?,"['Swedish', 'Finnish', 'Russian']",True,
6637,The official language of Grand Duchy of Finland is?,"['Swedish', 'Finnish', 'Russian']",True,
6638,The basic form of government of Grand Duchy of Lithuania is?,monarchy,False,True
6639,The capital of Grand Duchy of Lithuania is?,Vilnius,False,True
6640,The continent of Grand Duchy of Lithuania is?,Europe,False,False
6641,The official language of Grand Duchy of Lithuania is?,"['Latin', 'Polish']",True,
6642,The religion of Grand Duchy of Lithuania is?,Catholicism,False,False
6643,The language used in Grand Duchy of Moscow is?,Russian,False,True
6644,The basic form of government of Grand Duchy of Tuscany is?,monarchy,False,True
6645,The capital of Grand Duchy of Tuscany is?,Florence,False,True
6646,The official language of Grand Duchy of Tuscany is?,Italian,False,True
6647,"The languages spoken, written or signed by Grand Duke Jean I, Grand Duke of Luxembourg is?","['German', 'French', 'English']",True,
6648,"The military rank of Grand Duke Jean I, Grand Duke of Luxembourg is?",colonel,False,True
6649,Grand Teton is located in?,Wyoming,False,True
6650,The platform of Grand Theft Auto is?,"['iOS', 'Android']",True,
6651,The publisher of Grand Theft Auto is?,Capcom,False,False
6652,The publisher of Grand Theft Auto III is?,Capcom,False,False
6653,The country of Grande Dixence Dam is?,Switzerland,False,False
6654,The original country of Grande Odalisque is?,France,False,True
6655,The country of citizenship of Grant Balfour is?,Australia,False,True
6656,The country of citizenship of Grant Hackett is?,Australia,False,True
6657,The language of Gravity Falls is?,English,False,True
6658,The language of Gravity Falls is?,English,False,True
6659,The language of Gravity's Rainbow is?,English,False,True
6660,The country of Graz is?,Austria,False,True
6661,The residence of Grazia Deledda is?,Rome,False,True
6662,The country of Great Arctic State Nature Reserve is?,Russia,False,False
6663,The country of Great Barrier Reef is?,Australia,False,False
6664,Great Basin Desert is located in?,"['Utah', 'Nevada']",True,
6665,The capital of Great Britain is?,London,False,True
6666,The historic county of Great Britain is?,Lancashire,False,False
6667,The language used in Great Britain is?,English,False,True
6668,The official language of Great Britain is?,English,False,True
6669,The country of Great Dividing Range is?,Australia,False,False
6670,The language of Great Expectations is?,English,False,True
6671,The country of Great Lakes region is?,Canada,False,True
6672,The country of Great Limpopo Transfrontier Park is?,Zimbabwe,False,False
6673,The religion of Great Mosque of Djenné is?,Islam,False,True
6674,The country of Great Pyramid of Giza is?,Egypt,False,True
6675,Great Pyramid of Giza is located in?,Cairo,False,False
6676,The original country of Great Pyrenees is?,France,False,True
6677,The continent of Great Rift Valley is?,Africa,False,True
6678,Great Salt Lake is located in?,Utah,False,True
6679,The language used in Great Smoky Mountains is?,Cherokee,False,False
6680,Great Smoky Mountains is located in?,Tennessee,False,True
6681,Great Smoky Mountains National Park is located in?,Tennessee,False,True
6682,The material used in Great Wall of China is?,limestone,False,False
6683,The IUCN conservation status of Great white shark is?,vulnerable,False,True
6684,Greater London is located in?,England,False,True
6685,Greater London shares a border with?,"['Surrey', 'Essex', 'Hertfordshire']",True,
6686,Greater Manchester is located in?,England,False,True
6687,Greater Manchester shares a border with?,"['Lancashire', 'Cheshire']",True,
6688,The country of Greater Sunda Islands is?,Indonesia,False,True
6689,The capital of Greece is?,Athens,False,True
6690,The currency of Greece is?,euro,False,True
6691,The emergency phone number of Greece is?,112,False,True
6692,The ethnic group of Greece is?,Greeks,False,False
6693,The language used in Greece is?,Greek,False,True
6694,The official language of Greece is?,Greek,False,True
6695,Greece shares a border with?,"['Albania', 'Bulgaria', 'Turkey']",True,
6696,The country of Greek is?,"['Albania', 'Greece']",True,
6697,Greek is indigenous to?,Greece,False,True
6698,The country of Greek Civil War is?,Greece,False,True
6699,The country of Greek cuisine is?,Greece,False,True
6700,The original country of Greek cuisine is?,Greece,False,True
6701,The main subject of Green Revolution is?,agriculture,False,False
6702,The emergency phone number of Greenland is?,112,False,True
6703,The language used in Greenland is?,Danish,False,False
6704,Greenland shares a border with?,Iceland,False,False
6705,The country of Greenlandic is?,Denmark,False,False
6706,The operating area of Greenpeace is?,worldwide,False,False
6707,The original country of Greensleeves is?,England,False,True
6708,The language of Greensleeves is?,English,False,True
6709,The eye color of Greg Abbott is?,brown,False,False
6710,The team position of Greg Maddux is?,pitcher,False,True
6711,The country of citizenship of Greg Norman is?,Australia,False,True
6712,The sport played by Greg Olson is?,baseball,False,True
6713,The team position of Greg Swindell is?,pitcher,False,True
6714,The sport played by Gregg Olson is?,baseball,False,True
6715,The sport played by Gregg Popovich is?,basketball,False,True
6716,The country of citizenship of Gregor Strasser is?,Germany,False,True
6717,The original country of Gregorian chant is?,Europe,False,False
6718,The blood type of Gregory Peck is?,A,False,False
6719,The instrument of Gregory Raposo is?,guitar,False,True
6720,The country of citizenship of Gregory Smith is?,Canada,False,False
6721,The language used in Grenada is?,English,False,True
6722,The official language of Grenada is?,English,False,True
6723,Grenada shares a border with?,Venezuela,False,False
6724,The country of Grenoble is?,France,False,True
6725,The office held by head of government of Grenoble is?,mayor,False,True
6726,The country of citizenship of Greta Keller is?,Austria,False,True
6727,The country of citizenship of Greta Thunberg is?,Sweden,False,True
6728,The native language of Greta Thunberg is?,Swedish,False,True
6729,The country of Grey Cup is?,Canada,False,False
6730,The language of Grey's Anatomy is?,English,False,True
6731,The language of Grey's Anatomy is?,English,False,True
6732,The instrument of Greyson Chance is?,piano,False,True
6733,The voice type of Greyson Chance is?,baritone,False,False
6734,The country of citizenship of Grigori Perelman is?,Russia,False,True
6735,The country of citizenship of Grigory Potemkin is?,Russia,False,True
6736,The military branch of Grigory Potemkin is?,cavalry,False,False
6737,The country of citizenship of Grigory Rodchenkov is?,Russia,False,True
6738,The country of citizenship of Grigory Sokolov is?,Russia,False,True
6739,The original country of Grimms' Fairy Tales is?,Germany,False,True
6740,The language of Grimms' Fairy Tales is?,German,False,True
6741,The country of citizenship of Griselda Blanco is?,Colombia,False,True
6742,The country of Grisons is?,Switzerland,False,True
6743,The official language of Grisons is?,"['Italian', 'German']",True,
6744,The language of Grizzly Man is?,English,False,True
6745,The country of citizenship of Gro Harlem Brundtland is?,Norway,False,True
6746,The country of citizenship of Grock is?,Switzerland,False,False
6747,The country of Groningen is?,Netherlands,False,False
6748,The official language of Groningen is?,Dutch,False,True
6749,The country of Grossglockner is?,Austria,False,True
6750,The country of Groundhog Day is?,Canada,False,False
6751,The month of the year of Groundhog Day is?,February,False,True
6752,The native language of Grover Cleveland is?,English,False,True
6753,The team position of Grover Cleveland Alexander is?,pitcher,False,True
6754,The sport played by Grover Cleveland Alexander is?,baseball,False,True
6755,The country of Grozny is?,Russia,False,True
6756,The original country of Gruyère is?,Switzerland,False,True
6757,The country of citizenship of Gu Kaizhi is?,China,False,True
6758,The country of Guadalajara is?,Mexico,False,True
6759,The country of Guadalupe is?,Mexico,False,False
6760,The country of Guadalupe Island is?,Mexico,False,True
6761,The country of citizenship of Guadalupe Victoria is?,Mexico,False,True
6762,The religion of Guadalupe Victoria is?,Catholicism,False,True
6763,The currency of Guadeloupe is?,euro,False,True
6764,The emergency phone number of Guadeloupe is?,112,False,False
6765,The language used in Guadeloupe is?,French,False,True
6766,The language used in Guam is?,English,False,False
6767,The official language of Guam is?,English,False,False
6768,The religion of Guan Yu is?,Buddhism,False,False
6769,Guanajuato is located in?,Mexico,False,True
6770,The capital of Guangdong is?,Guangzhou,False,True
6771,The continent of Guangdong is?,Asia,False,False
6772,The language used in Guangdong is?,Cantonese,False,True
6773,Guangdong shares a border with?,"['Hunan', 'Fujian', 'Macau']",True,
6774,The headquarters location of Guangming Daily is?,Beijing,False,True
6775,The language of Guangming Daily is?,Chinese,False,True
6776,The language used in Guangxi Zhuang Autonomous Region is?,E,False,True
6777,Guangxi Zhuang Autonomous Region shares a border with?,"['Guangdong', 'Yunnan']",True,
6778,Guangzhou is capital of?,Guangdong,False,False
6779,Guangzhou is located in?,Guangdong,False,False
6780,Guangzhou shares a border with?,Shenzhen,False,False
6781,The country of Guantánamo is?,Cuba,False,False
6782,The official language of Guantánamo is?,Spanish,False,True
6783,The country of Guarani is?,Paraguay,False,False
6784,The country of Guarulhos is?,Brazil,False,True
6785,The language used in Guatemala is?,Spanish,False,True
6786,The official language of Guatemala is?,Spanish,False,True
6787,Guatemala shares a border with?,"['Mexico', 'Belize', 'Honduras']",True,
6788,The country of Guayaquil is?,Ecuador,False,True
6789,The country of citizenship of Guccio Gucci is?,Italy,False,True
6790,Guerrero is located in?,Mexico,False,True
6791,The original country of Guerrillero Heroico is?,Cuba,False,True
6792,The country of Guggenheim Museum is?,Spain,False,False
6793,Guggenheim Museum is located in?,Bilbao,False,False
6794,The religion of Guglielmo Ebreo da Pesaro is?,Catholicism,False,False
6795,The country of Guiana Shield is?,"['Guyana', 'Venezuela']",True,
6796,The language of Guiding Light is?,English,False,True
6797,The language of Guiding Light is?,English,False,True
6798,The country of citizenship of Guido Cappellini is?,Italy,False,True
6799,Guido Reni influenced by?,Michelangelo,False,False
6800,The country of citizenship of Guillaume Apollinaire is?,France,False,True
6801,The native language of Guillaume Apollinaire is?,French,False,True
6802,The country of citizenship of Guillaume Dufay is?,"['France', 'Belgium']",True,
6803,The country of citizenship of Guillaume Tirel is?,France,False,True
6804,The country of citizenship of Guillaume de Lorris is?,France,False,True
6805,The native language of Guillaume de Lorris is?,French,False,True
6806,The country of citizenship of Guillaume de Machaut is?,France,False,True
6807,The country of citizenship of Guillaume de Rubrouck is?,France,False,True
6808,The country of citizenship of Guillaume de l'Hôpital is?,France,False,True
6809,The country of citizenship of Guillermo Prieto is?,Mexico,False,True
6810,The country of citizenship of Guillermo Vilas is?,Argentina,False,True
6811,The country of citizenship of Guillermo del Toro is?,Mexico,False,True
6812,The genre of Guillermo del Toro is?,drama,False,False
6813,The basic form of government of Guinea is?,republic,False,True
6814,The continent of Guinea is?,Africa,False,True
6815,The language used in Guinea is?,French,False,True
6816,The official language of Guinea is?,French,False,True
6817,Guinea shares a border with?,"['Liberia', 'Mali', 'Senegal']",True,
6818,The continent of Guinea-Bissau is?,Africa,False,True
6819,The emergency phone number of Guinea-Bissau is?,112,False,True
6820,The language used in Guinea-Bissau is?,Portuguese,False,True
6821,The official language of Guinea-Bissau is?,Portuguese,False,True
6822,Guinea-Bissau shares a border with?,Senegal,False,True
6823,The original country of Guinness World Records is?,Ireland,False,False
6824,The headquarters location of Guinness World Records is?,London,False,True
6825,The language of Guinness World Records is?,English,False,True
6826,The military rank of Guion Bluford is?,colonel,False,True
6827,Guizhou shares a border with?,"['Sichuan', 'Yunnan']",True,
6828,The country of Gujarat is?,India,False,True
6829,The language used in Gujarat is?,"['Hindi', 'Gujarati']",True,
6830,Gujarat is located in?,India,False,True
6831,The native language of Gujarat is?,Gujarati,False,True
6832,Gujarat shares a border with?,"['Maharashtra', 'Rajasthan']",True,
6833,The country of Gujarati is?,India,False,True
6834,Gujarati is indigenous to?,"['Maharashtra', 'Rajasthan']",True,
6835,The country of Gujranwala is?,Pakistan,False,True
6836,Gujrat is located in?,Punjab,False,False
6837,The religion of Gulab Singh is?,Hinduism,False,False
6838,The basin country of Gulf of Aqaba is?,Jordan,False,True
6839,The basin country of Gulf of Finland is?,"['Estonia', 'Russia']",True,
6840,The country of Gulf of Finland is?,"['Russia', 'Estonia']",True,
6841,The country of Gulf of Saint Lawrence is?,Canada,False,True
6842,Gulf of Saint Lawrence is located in?,Quebec,False,False
6843,The country of Gulf of Thailand is?,"['Vietnam', 'Cambodia']",True,
6844,The country of Gulf of Tonkin is?,Vietnam,False,True
6845,The language of Gulliver's Travels is?,English,False,True
6846,The original country of Gulong ng Palad is?,Philippines,False,True
6847,The language of Gulong ng Palad is?,Filipino,False,False
6848,The country of citizenship of Gulshan Kumar is?,India,False,True
6849,The religion of Gulshan Kumar is?,Hinduism,False,True
6850,The country of citizenship of Gulzar is?,India,False,True
6851,The country of citizenship of Gulzarilal Nanda is?,India,False,True
6852,The religion of Gulzarilal Nanda is?,Hinduism,False,True
6853,The country of Gunma Prefecture is?,Japan,False,True
6854,Gunma Prefecture is located in?,Japan,False,True
6855,The country of citizenship of Gunnar Ekelöf is?,Sweden,False,True
6856,The native language of Gunnar Ekelöf is?,Swedish,False,True
6857,"The language of Guns, Germs, and Steel is?",English,False,True
6858,"The main subject of Guns, Germs, and Steel is?",history,False,True
6859,The language of Gunsmoke is?,English,False,True
6860,The original broadcaster of Gunsmoke is?,CBS,False,True
6861,The language of Gunsmoke is?,English,False,True
6862,The official language of Guntur is?,Telugu,False,True
6863,The country of Gunung Papandayan is?,Indonesia,False,True
6864,The continent of Gupta Empire is?,Asia,False,False
6865,The official language of Gupta Empire is?,Sanskrit,False,True
6866,The religion of Gupta Empire is?,Hinduism,False,True
6867,The country of citizenship of Gurbanguly Berdimuhamedow is?,Turkmenistan,False,True
6868,The official language of Gurjara-Pratihara is?,Sanskrit,False,True
6869,The country of citizenship of Guru Dutt is?,India,False,True
6870,The country of Gurugram is?,India,False,True
6871,The official language of Gurugram is?,Hindi,False,True
6872,The sport played by Gus Bell is?,baseball,False,True
6873,The country of citizenship of Gustaf Dalén is?,Sweden,False,True
6874,The country of citizenship of Gustav Kirchhoff is?,Germany,False,True
6875,The country of citizenship of Gustav Klimt is?,Austria,False,True
6876,The academic degree of Gustav Stresemann is?,doctorate,False,False
6877,The country of citizenship of Gustav Stresemann is?,Germany,False,True
6878,The residence of Gustav Stresemann is?,Berlin,False,True
6879,The country of citizenship of Gustav Vigeland is?,Norway,False,True
6880,The country of citizenship of Gustave Caillebotte is?,France,False,True
6881,The country of citizenship of Gustave Courbet is?,France,False,True
6882,The country of citizenship of Gustave Doré is?,France,False,True
6883,The country of citizenship of Gustave Eiffel is?,France,False,True
6884,The country of citizenship of Gustave Flaubert is?,France,False,True
6885,The country of citizenship of Gustave Le Gray is?,France,False,True
6886,The country of citizenship of Gustave Moreau is?,France,False,True
6887,The religion of Gustavo Rojas Pinilla is?,Catholicism,False,False
6888,The language of Gutenberg Bible is?,Latin,False,True
